"Description Product ID","Part Number","Key Feature Product ID","Part Number"
58213,1336E-B050-AN-EN-HAP-L6,14986,1336-CONV-SP14A
58227,1336E-B050-AN-EN-L8E-GM5,14983,1336-151175
58239,1336E-B060-AA-EN-HA1-L9E,14984,1336-151754
58212,1336E-B060-AA-EN-HA2-L6,14981,1336-151157
15109,1336E-B060-AA-EN-HA2-L8E,14982,1336-151174
58184,1336E-B060-AA-EN-HAP,14979,1336-151153
58147,1336E-B060-AE-EN,14980,1336-151155
58182,1336E-B060-AE-EN-HA2,14977,1336-151149
15110,1336E-B060-AE-EN-HA2-L8E,14978,1336-151150
58224,1336E-B060-AN-EN-HA2-L9E,14975,1336-151141
58175,1336E-B060-AN-EN-L6,14976,1336-151146
58183,1336E-B060-AN-EN-L8E,14974,1336-151138
58291,1336E-B075-AA-EN-GM1-HA2-L9E,14973,1336-151136
58217,1336E-B075-AE-EN-HA2-L6,14972,1336-151135
15111,1336E-B075-AN-EN,14971,1336-151134
